"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"103","gamma",5000,0.1,2,"raw",-0.0075,-0.0075,0.2254,0.2253,0.954,0
"104","gamma",5000,0.1,2,"topcode",0.0096,0.0096,0.2128,0.2128,0.95,0
"105","gamma",5000,0.1,3,"mean_adj",0.0093,0.0093,0.2218,0.2217,0.95,0
"106","gamma",5000,0.1,3,"median_adj",-0.0065,-0.0065,0.2247,0.2246,0.958,0
"107","gamma",5000,0.1,3,"raw",-0.0109,-0.0109,0.2319,0.2319,0.944,0
"108","gamma",5000,0.1,3,"topcode",0.006,0.006,0.2214,0.2213,0.942,0
"109","logit",1000,0.01,1,"mean_adj",-0.0045,-0.0045,0.1859,0.1858,0.972,0
"110","logit",1000,0.01,1,"median_adj",0.0121,0.0121,0.1916,0.1917,0.95,0
"111","logit",1000,0.01,1,"raw",0.0034,0.0034,0.2002,0.2,0.922,0
"112","logit",1000,0.01,1,"topcode",-0.0087,-0.0087,0.1993,0.1993,0.948,0
"113","logit",1000,0.01,2,"mean_adj",0.0036,0.0036,0.1947,0.1945,0.948,0
"114","logit",1000,0.01,2,"median_adj",-0.0102,-0.0102,0.1878,0.1879,0.958,0
"115","logit",1000,0.01,2,"raw",-0.0004,-0.0004,0.1786,0.1785,0.962,0
"116","logit",1000,0.01,2,"topcode",-0.0065,-0.0065,0.1872,0.1871,0.96,0
"117","logit",1000,0.01,3,"mean_adj",0.0105,0.0105,0.1996,0.1997,0.946,0
"118","logit",1000,0.01,3,"median_adj",0.0159,0.0159,0.1912,0.1917,0.96,0
"119","logit",1000,0.01,3,"raw",0.0001,0.0001,0.1932,0.193,0.962,0
"120","logit",1000,0.01,3,"topcode",-0.0029,-0.0029,0.192,0.1918,0.952,0
"121","logit",1000,0.05,1,"mean_adj",0.0013,0.0013,0.1932,0.1931,0.946,0
"122","logit",1000,0.05,1,"median_adj",-0.0126,-0.0126,0.1929,0.1931,0.938,0
"123","logit",1000,0.05,1,"raw",0.0119,0.0119,0.192,0.1921,0.954,0
