"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"293","logols",5000,0.01,2,"mean_adj",0.0117,0.0117,0.1323,0.1327,0.968,0
"294","logols",5000,0.01,2,"median_adj",0.017,0.017,0.1344,0.1354,0.956,0
"295","logols",5000,0.01,2,"raw",-0.0019,-0.0019,0.1417,0.1416,0.954,0
"296","logols",5000,0.01,2,"topcode",0.0049,0.0049,0.1425,0.1425,0.944,0
"297","logols",5000,0.01,3,"mean_adj",0.0136,0.0136,0.1313,0.1319,0.968,0
"298","logols",5000,0.01,3,"median_adj",0.0016,0.0016,0.1368,0.1367,0.952,0
"299","logols",5000,0.01,3,"raw",-0.0011,-0.0011,0.1357,0.1356,0.958,0
"300","logols",5000,0.01,3,"topcode",-0.0018,-0.0018,0.1369,0.1368,0.954,0
"301","logols",5000,0.05,1,"mean_adj",-0.0056,-0.0056,0.1427,0.1427,0.96,0
"302","logols",5000,0.05,1,"median_adj",0.0051,0.0051,0.1471,0.1471,0.946,0
"303","logols",5000,0.05,1,"raw",0.0074,0.0074,0.1566,0.1566,0.95,0
"304","logols",5000,0.05,1,"topcode",-0.0007,-0.0007,0.1443,0.1441,0.97,0
"305","logols",5000,0.05,2,"mean_adj",0.01,0.01,0.1437,0.1439,0.968,0
"306","logols",5000,0.05,2,"median_adj",0.0065,0.0065,0.15,0.15,0.946,0
"307","logols",5000,0.05,2,"raw",0.0065,0.0065,0.1512,0.1512,0.956,0
"308","logols",5000,0.05,2,"topcode",0.0012,0.0012,0.1492,0.1491,0.95,0
"309","logols",5000,0.05,3,"mean_adj",0.0126,0.0126,0.142,0.1424,0.966,0
"310","logols",5000,0.05,3,"median_adj",-0.007,-0.007,0.1426,0.1426,0.96,0
"311","logols",5000,0.05,3,"raw",0.0161,0.0161,0.1574,0.1581,0.962,0
"312","logols",5000,0.05,3,"topcode",0.0124,0.0124,0.1537,0.1541,0.95,0
"313","logols",5000,0.1,1,"mean_adj",0.0002,0.0002,0.1531,0.1529,0.97,0
"314","logols",5000,0.1,1,"median_adj",0.0032,0.0032,0.1564,0.1563,0.952,0
"315","logols",5000,0.1,1,"raw",0.004,0.004,0.1646,0.1645,0.95,0
"316","logols",5000,0.1,1,"topcode",0.0136,0.0136,0.1642,0.1646,0.932,0
"317","logols",5000,0.1,2,"mean_adj",0.0185,0.0185,0.1624,0.1633,0.958,0
"318","logols",5000,0.1,2,"median_adj",0.0107,0.0107,0.1656,0.1658,0.954,0
"319","logols",5000,0.1,2,"raw",0.0005,0.0005,0.164,0.1638,0.944,0
"320","logols",5000,0.1,2,"topcode",0.0094,0.0094,0.1615,0.1616,0.956,0
"321","logols",5000,0.1,3,"mean_adj",0.0154,0.0154,0.1657,0.1662,0.942,0
"322","logols",5000,0.1,3,"median_adj",0.0128,0.0128,0.1547,0.1551,0.97,0
"323","logols",5000,0.1,3,"raw",0.0041,0.0041,0.1736,0.1735,0.94,0
"324","logols",5000,0.1,3,"topcode",0.0125,0.0125,0.163,0.1633,0.958,0
