"","model","n","prop_extreme","magnitude_level","treatment","mean_est","bias","emp_se","rmse","coverage","n_fail"
"294","logols",5000,0.01,2,"median_adj",0.0093,0.0093,0.1339,0.1341,0.95,0
"295","logols",5000,0.01,2,"raw",0.007,0.007,0.1386,0.1386,0.954,0
"296","logols",5000,0.01,2,"topcode",-0.0041,-0.0041,0.1419,0.1418,0.944,0
"297","logols",5000,0.01,3,"mean_adj",0.0017,0.0017,0.1295,0.1293,0.974,0
"298","logols",5000,0.01,3,"median_adj",0.0012,0.0012,0.1309,0.1308,0.964,0
"299","logols",5000,0.01,3,"raw",0.0033,0.0033,0.1347,0.1346,0.958,0
"300","logols",5000,0.01,3,"topcode",0.014,0.014,0.1315,0.1321,0.97,0
"301","logols",5000,0.05,1,"mean_adj",0.0061,0.0061,0.1423,0.1423,0.956,0
"302","logols",5000,0.05,1,"median_adj",0.0042,0.0042,0.1336,0.1335,0.974,0
"303","logols",5000,0.05,1,"raw",0.0131,0.0131,0.1526,0.153,0.952,0
"304","logols",5000,0.05,1,"topcode",0.0079,0.0079,0.1417,0.1417,0.962,0
"305","logols",5000,0.05,2,"mean_adj",0.0096,0.0096,0.1504,0.1506,0.95,0
"306","logols",5000,0.05,2,"median_adj",0.0062,0.0062,0.1497,0.1497,0.958,0
"307","logols",5000,0.05,2,"raw",0.0169,0.0169,0.1494,0.1502,0.96,0
"308","logols",5000,0.05,2,"topcode",0.0082,0.0082,0.1404,0.1405,0.968,0
"309","logols",5000,0.05,3,"mean_adj",0.0114,0.0114,0.1472,0.1475,0.96,0
"310","logols",5000,0.05,3,"median_adj",0.0053,0.0053,0.142,0.142,0.96,0
"311","logols",5000,0.05,3,"raw",0.0058,0.0058,0.1457,0.1457,0.958,0
"312","logols",5000,0.05,3,"topcode",0.0095,0.0095,0.1458,0.146,0.974,0
"313","logols",5000,0.1,1,"mean_adj",0.0027,0.0027,0.164,0.1638,0.948,0
"314","logols",5000,0.1,1,"median_adj",0.0169,0.0169,0.1501,0.1509,0.96,0
"315","logols",5000,0.1,1,"raw",0.0046,0.0046,0.1486,0.1485,0.964,0
"316","logols",5000,0.1,1,"topcode",-0.0006,-0.0006,0.1599,0.1597,0.952,0
"317","logols",5000,0.1,2,"mean_adj",0.0161,0.0161,0.1662,0.1668,0.938,0
"318","logols",5000,0.1,2,"median_adj",0.004,0.004,0.1554,0.1553,0.95,0
"319","logols",5000,0.1,2,"raw",0.0071,0.0071,0.1599,0.1599,0.954,0
"320","logols",5000,0.1,2,"topcode",0.0126,0.0126,0.1616,0.1619,0.954,0
"321","logols",5000,0.1,3,"mean_adj",0.0219,0.0219,0.1634,0.1647,0.96,0
"322","logols",5000,0.1,3,"median_adj",0.0108,0.0108,0.1561,0.1563,0.956,0
"323","logols",5000,0.1,3,"raw",0.0133,0.0133,0.1603,0.1607,0.956,0
"324","logols",5000,0.1,3,"topcode",0.0234,0.0234,0.1721,0.1735,0.948,0
